FIGHERT1,FIGHERT2,OUTCOME1,OUTCOME2,METHOD,ROUND,TIME,REFEREE,DATE
Kai Kara-France ,Amir Albazi ,L,W,Decision - Split ,5,5:00,Herb Dean,"June 03, 2023"
Alex Caceres ,Daniel Pineda ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"June 03, 2023"
Jim Miller ,Jesse Butler ,W,L,KO/TKO ,1,0:23,Dan Miragliotta,"June 03, 2023"
Tim Elliott ,Victor Altamirano ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"June 03, 2023"
Karine Silva ,Ketlen Souza ,W,L,Submission ,1,1:45,Chris Tognoni,"June 03, 2023"
Abubakar Nurmagomedov ,Elizeu Zaleski dos Santos ,L,W,Decision - Split ,3,5:00,Dan Miragliotta,"June 03, 2023"
Daniel Santos ,Johnny Munoz ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"June 03, 2023"
Andrei Arlovski ,Don'Tale Mayes ,L,W,KO/TKO ,2,3:17,Mark Smith,"June 03, 2023"
John Castaneda ,Muin Gafurov ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"June 03, 2023"
Jamie Mullarkey ,Muhammad Naimov ,L,W,KO/TKO ,2,2:59,Herb Dean,"June 03, 2023"
Elise Reed ,Jinh Yu Frey ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"June 03, 2023"
Da'Mon Blackshear ,Luan Lacerda ,W,L,KO/TKO ,2,3:54,Chris Tognoni,"June 03, 2023"
Philipe Lins ,Maxim Grishin ,W,L,Decision - Unanimous ,3,5:00,Dan Miragliotta,"June 03, 2023"
Mackenzie Dern ,Angela Hill ,W,L,Decision - Unanimous ,5,5:00,Jason Herzog,"May 20, 2023"
Edmen Shahbazyan ,Anthony Hernandez ,L,W,KO/TKO ,3,1:01,Herb Dean,"May 20, 2023"
Emily Ducote ,Loopy Godinez ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 20, 2023"
Andre Fialho ,Joaquin Buckley ,L,W,KO/TKO ,2,4:15,Kerry Hatley,"May 20, 2023"
Diego Ferreira ,Michael Johnson ,W,L,KO/TKO ,2,1:50,Herb Dean,"May 20, 2023"
 Maheshate ,Viacheslav Borshchev ,L,W,KO/TKO ,2,2:37,Jason Herzog,"May 20, 2023"
Karolina Kowalkiewicz ,Vanessa Demopoulos ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 20, 2023"
Orion Cosce ,Gilbert Urbina ,L,W,KO/TKO ,2,2:55,Kerry Hatley,"May 20, 2023"
Ilir Latifi ,Rodrigo Nascimento ,L,W,Decision - Split ,3,5:00,Herb Dean,"May 20, 2023"
Chase Hooper ,Nick Fiore ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"May 20, 2023"
Natalia Silva ,Victoria Leonardo ,W,L,KO/TKO ,1,2:58,Kerry Hatley,"May 20, 2023"
Takashi Sato ,Themba Gorimbo ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 20, 2023"
Jairzinho Rozenstruik ,Jailton Almeida ,L,W,Submission ,1,3:43,Dan Miragliotta,"May 13, 2023"
Anthony Smith ,Johnny Walker ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"May 13, 2023"
Daniel Rodriguez ,Ian Garry ,L,W,KO/TKO ,1,2:57,Dan Miragliotta,"May 13, 2023"
Carlos Ulberg ,Ihor Potieria ,W,L,KO/TKO ,1,2:09,Keith Peterson,"May 13, 2023"
Tim Means ,Alex Morono ,L,W,Submission ,2,2:09,Wayne Spinola,"May 13, 2023"
Matt Brown ,Court McGee ,W,L,KO/TKO ,1,4:09,Dan Miragliotta,"May 13, 2023"
Karl Williams ,Chase Sherman ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"May 13, 2023"
Cody Stamann ,Douglas Silva de Andrade ,L,W,Decision - Unanimous ,3,5:00,Wayne Spinola,"May 13, 2023"
Ji Yeon Kim ,Mandy Bohm ,L,W,Decision - Split ,3,1:55,Larry Carter,"May 13, 2023"
Bryan Battle ,Gabe Green ,W,L,KO/TKO ,1,0:14,Wayne Spinola,"May 13, 2023"
Jessica-Rose Clark ,Tainara Lisboa ,L,W,Submission ,3,4:20,Larry Carter,"May 13, 2023"
Aljamain Sterling ,Henry Cejudo ,W,L,Decision - Split ,5,5:00,Herb Dean,"May 06, 2023"
Belal Muhammad ,Gilbert Burns ,W,L,Decision - Unanimous ,5,5:00,Keith Peterson,"May 06, 2023"
Jessica Andrade ,Yan Xiaonan ,L,W,KO/TKO ,1,2:20,Vitor Ribeiro,"May 06, 2023"
Movsar Evloev ,Diego Lopes ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"May 06, 2023"
Kron Gracie ,Charles Jourdain ,L,W,Decision - Unanimous ,3,5:00,Gary Copeland,"May 06, 2023"
Drew Dober ,Matt Frevola ,L,W,KO/TKO ,1,4:08,Herb Dean,"May 06, 2023"
Kennedy Nzechukwu ,Devin Clark ,W,L,Submission ,2,2:28,Gasper Oliver,"May 06, 2023"
Khaos Williams ,Rolando Bedoya ,W,L,Decision - Split ,3,5:00,Keith Peterson,"May 06, 2023"
Marina Rodriguez ,Virna Jandiroba ,L,W,Decision - Unanimous ,3,5:00,Vitor Ribeiro,"May 06, 2023"
Braxton Smith ,Parker Porter ,L,W,KO/TKO ,1,2:10,Gary Copeland,"May 06, 2023"
Phil Hawes ,Ikram Aliskerov ,L,W,KO/TKO ,1,2:10,Gasper Oliver,"May 06, 2023"
Joseph Holmes ,Claudio Ribeiro ,L,W,KO/TKO ,2,3:21,Gary Copeland,"May 06, 2023"
Song Yadong ,Ricky Simon ,W,L,KO/TKO ,5,1:10,Herb Dean,"April 29, 2023"
